"GEO_ID","NAME","B01001F_001E","B01001F_001M","B01001F_002E","B01001F_002M","B01001F_003E","B01001F_003M","B01001F_004E","B01001F_004M","B01001F_005E","B01001F_005M","B01001F_006E","B01001F_006M","B01001F_007E","B01001F_007M","B01001F_008E","B01001F_008M","B01001F_009E","B01001F_009M","B01001F_010E","B01001F_010M","B01001F_011E","B01001F_011M","B01001F_012E","B01001F_012M","B01001F_013E","B01001F_013M","B01001F_014E","B01001F_014M","B01001F_015E","B01001F_015M","B01001F_016E","B01001F_016M","B01001F_017E","B01001F_017M","B01001F_018E","B01001F_018M","B01001F_019E","B01001F_019M","B01001F_020E","B01001F_020M","B01001F_021E","B01001F_021M","B01001F_022E","B01001F_022M","B01001F_023E","B01001F_023M","B01001F_024E","B01001F_024M","B01001F_025E","B01001F_025M","B01001F_026E","B01001F_026M","B01001F_027E","B01001F_027M","B01001F_028E","B01001F_028M","B01001F_029E","B01001F_029M","B01001F_030E","B01001F_030M","B01001F_031E","B01001F_031M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 to 24 years","Margin of Error!!Total:!!Male:!!20 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Male:!!35 to 44 years","Estimate!!Total:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Male:!!45 to 54 years","Estimate!!Total:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Male:!!55 to 64 years","Estimate!!Total:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Male:!!65 to 74 years","Estimate!!Total:!!Male:!!75 to 84 years","Margin of Error!!Total:!!Male:!!75 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 to 24 years","Margin of Error!!Total:!!Female:!!20 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Female:!!35 to 44 years","Estimate!!Total:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Female:!!45 to 54 years","Estimate!!Total:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Female:!!55 to 64 years","Estimate!!Total:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Female:!!65 to 74 years","Estimate!!Total:!!Female:!!75 to 84 years","Margin of Error!!Total:!!Female:!!75 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over"
"8600000US64101","ZCTA5 64101","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64102","ZCTA5 64102","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64105","ZCTA5 64105","40","48","30","44","0","16","0","16","0","16","0","16","0","16","0","16","28","44","2","7","0","16","0","16","0","16","0","16","0","16","0","16","10","15","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1","4","9","15","0","16","0","16","0","16","0","16"
"8600000US64106","ZCTA5 64106","210","183","95","76","0","16","53","65","0","16","0","16","0","16","0","16","21","27","12","18","0","16","0","16","0","16","9","15","0","16","0","16","115","116","65","69","0","16","0","16","0","16","6","11","37","47","0","16","7","12","0","16","0","16","0","16","0","16","0","16","0","16"
"8600000US64108","ZCTA5 64108","851","263","469","167","21","35","38","60","51","56","8","16","33","46","0","16","36","53","0","16","124","54","80","84","51","46","0","16","27","42","0","16","382","134","19","31","0","16","0","16","34","48","0","16","23","34","0","16","7","10","78","41","65","54","95","80","16","25","13","22","32","44"
"8600000US64109","ZCTA5 64109","327","183","174","104","0","16","6","9","19","22","0","16","10","17","35","48","55","51","0","16","31","22","0","16","18","22","0","16","0","16","0","16","153","87","5","8","0","16","18","24","11","17","13","18","14","18","0","16","6","11","21","17","56","49","0","16","9","14","0","16","0","16"
"8600000US64110","ZCTA5 64110","326","154","173","105","0","18","0","18","0","18","0","18","5","12","9","14","8","12","25","31","48","42","24","29","29","26","13","18","12","17","0","18","153","84","0","18","0","18","0","18","16","18","44","37","16","21","9","13","0","18","22","21","23","22","18","17","0","18","5","8","0","18"
"8600000US64111","ZCTA5 64111","500","301","244","182","0","18","33","40","0","18","0","18","0","18","0","18","40","29","6","9","123","129","0","18","0","18","42","63","0","18","0","18","256","141","0","18","0","18","0","18","0","18","4","8","29","35","6","9","34","43","57","50","126","114","0","18","0","18","0","18","0","18"
"8600000US64112","ZCTA5 64112","69","51","47","44","0","16","0","16","0","16","0","16","7","14","0","16","19","27","0","16","0","16","0","16","21","33","0","16","0","16","0","16","22","25","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","8","12","0","16","14","22","0","16","0","16","0","16"
"8600000US64113","ZCTA5 64113","28","25","6","8","0","18","0","18","6","8","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","22","20","0","18","0","18","0","18","0","18","0","18","0","18","0","18","8","13","9","12","5","7","0","18","0","18","0","18","0","18"
"8600000US64114","ZCTA5 64114","576","368","241","161","0","21","8","17","75","72","0","21","0","21","0","21","12","20","46","72","62","56","22","25","8","17","0","21","8","12","0","21","335","217","93","95","20","31","56","67","0","21","0","21","18","30","30","33","42","66","6","15","24","26","15","17","0","21","31","49","0","21"
"8600000US64116","ZCTA5 64116","411","225","199","110","0","18","23","20","11","15","15","24","20","32","13","20","4","16","0","18","3","7","98","80","0","18","12","21","0","18","0","18","212","142","0","18","35","38","35","42","43","46","0","18","48","54","0","18","0","18","13","18","38","47","0","18","0","18","0","18","0","18"
"8600000US64117","ZCTA5 64117","508","322","279","170","31","52","0","18","30","44","16","26","0","18","0","18","0","18","39","60","22","25","114","92","0","18","27","42","0","18","0","18","229","168","0","18","0","18","0","18","0","18","0","18","21","36","0","18","105","106","0","18","70","60","6","11","0","18","27","38","0","18"
"8600000US64118","ZCTA5 64118","1145","449","723","262","79","81","66","63","95","55","45","32","0","24","0","24","81","65","123","88","89","68","0","24","113","75","0","24","32","43","0","24","422","225","35","55","51","65","63","49","0","24","0","24","0","24","73","64","0","24","120","80","8","12","57","53","15","22","0","24","0","24"
"8600000US64119","ZCTA5 64119","491","249","209","139","0","21","21","32","21","32","0","21","0","21","0","21","32","41","21","25","79","72","23","29","0","21","0","21","12","19","0","21","282","163","44","57","0","21","34","56","2","4","0","21","0","21","12","16","20","29","113","96","47","68","0","21","10","15","0","21","0","21"
"8600000US64120","ZCTA5 64120","21","28","5","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","11","0","11","0","11","0","11","16","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","12","0","11","11","16","0","11","0","11"
"8600000US64123","ZCTA5 64123","1983","608","1084","381","146","97","90","89","132","93","50","54","46","71","66","66","112","108","73","63","188","126","92","95","50","63","39","41","0","16","0","16","899","304","0","16","115","92","76","73","179","136","0","16","35","50","42","53","106","81","151","89","126","79","32","35","8","17","0","16","29","43"
"8600000US64124","ZCTA5 64124","2154","537","1207","345","72","46","65","57","194","105","60","45","87","63","92","77","62","77","79","57","137","78","204","103","106","81","40","51","9","15","0","18","947","259","28","37","133","94","115","58","70","57","0","18","57","44","67","53","43","46","249","107","74","72","58","57","45","60","0","18","8","13"
"8600000US64125","ZCTA5 64125","259","134","169","105","0","11","0","11","12","17","12","18","10","15","31","36","46","47","0","11","0","11","43","35","8","12","0","11","7","11","0","11","90","61","0","11","0","11","0","11","0","11","0","11","0","11","25","30","28","46","37","27","0","11","0","11","0","11","0","11","0","11"
"8600000US64126","ZCTA5 64126","2031","799","1072","445","120","155","189","166","108","76","61","69","23","32","70","60","45","53","67","61","185","89","147","108","57","52","0","16","0","16","0","16","959","374","103","98","101","95","99","95","128","78","96","80","48","64","52","63","84","74","158","102","0","16","49","45","41","58","0","16","0","16"
"8600000US64127","ZCTA5 64127","2303","664","952","314","200","133","124","74","75","67","14","17","46","41","55","44","71","71","54","46","164","90","106","51","24","29","9","14","0","18","10","17","1351","441","203","126","125","85","198","103","116","78","43","49","115","81","73","64","94","84","245","101","67","46","71","55","0","18","1","7","0","18"
"8600000US64128","ZCTA5 64128","194","113","107","62","0","18","0","18","9","15","0","18","0","18","0","18","0","18","0","18","20","20","10","16","38","35","30","29","0","18","0","18","87","67","0","18","26","24","0","18","16","18","0","18","0","18","9","14","0","18","15","16","9","17","0","18","0","18","0","18","12","19"
"8600000US64129","ZCTA5 64129","116","99","29","29","0","16","11","17","0","16","0","16","0","16","0","16","0","16","0","16","11","17","7","13","0","16","0","16","0","16","0","16","87","85","0","16","12","18","31","50","0","16","0","16","9","16","0","16","12","19","10","15","13","19","0","16","0","16","0","16","0","16"
"8600000US64130","ZCTA5 64130","196","162","148","125","0","21","39","62","20","31","0","21","10","16","8","12","0","21","0","21","7","11","32","46","0","21","32","44","0","21","0","21","48","43","0","21","8","11","0","21","9","15","0","21","0","21","0","21","21","33","6","9","4","6","0","21","0","21","0","21","0","21"
"8600000US64131","ZCTA5 64131","666","514","320","223","0","21","14","20","119","115","0","21","14","20","0","21","16","21","25","31","9","12","0","21","109","105","14","23","0","21","0","21","346","299","29","40","88","106","88","106","0","21","28","32","0","21","21","25","7","11","76","85","0","21","9","14","0","21","0","21","0","21"
"8600000US64132","ZCTA5 64132","632","441","407","275","45","52","47","77","29","47","7","13","0","18","132","202","52","86","67","52","0","18","0","18","16","26","12","19","0","18","0","18","225","178","29","46","0","18","0","18","0","18","0","18","117","151","17","27","0","18","17","26","45","73","0","18","0","18","0","18","0","18"
"8600000US64133","ZCTA5 64133","1424","636","695","339","88","83","76","72","52","54","41","65","42","65","57","63","120","139","71","75","47","58","74","79","27","38","0","24","0","24","0","24","729","417","48","61","38","59","197","178","44","70","0","24","68","73","48","54","69","78","128","92","54","64","19","21","16","24","0","24","0","24"
"8600000US64134","ZCTA5 64134","585","374","310","214","40","51","47","42","69","95","37","47","11","18","10","16","11","19","22","36","0","21","63","64","0","21","0","21","0","21","0","21","275","175","10","17","0","21","79","74","11","18","0","21","10","17","33","39","56","65","19","23","57","50","0","21","0","21","0","21","0","21"
"8600000US64136","ZCTA5 64136","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64137","ZCTA5 64137","315","246","122","106","7","14","0","18","28","43","7","11","6","13","8","14","9","17","0","18","40","46","8","14","9","16","0","18","0","18","0","18","193","154","40","48","24","40","28","44","0","18","0","18","37","47","0","18","13","21","23","35","23","21","5","9","0","18","0","18","0","18"
"8600000US64138","ZCTA5 64138","990","516","704","380","216","178","77","83","26","33","29","48","61","70","64","69","46","54","19","24","84","74","27","31","55","57","0","21","0","21","0","21","286","191","6","49","34","53","34","53","0","21","26","43","0","21","43","62","0","21","83","74","26","29","34","43","0","21","0","21","0","21"
"8600000US64139","ZCTA5 64139","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64145","ZCTA5 64145","46","48","16","24","0","16","0","16","5","8","0","16","0","16","6","9","0","16","0","16","0","16","5","7","0","16","0","16","0","16","0","16","30","27","0","16","0","16","0","16","0","16","5","10","13","16","0","16","0","16","5","7","0","16","0","16","7","10","0","16","0","16"
"8600000US64146","ZCTA5 64146","28","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","28","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","28","46","0","11","0","11","0","11"
"8600000US64147","ZCTA5 64147","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64149","ZCTA5 64149","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64150","ZCTA5 64150","93","128","33","49","0","11","0","11","0","11","0","11","18","27","0","11","0","11","0","11","15","23","0","11","0","11","0","11","0","11","0","11","60","80","0","11","19","27","20","27","0","11","0","11","0","11","0","11","0","11","17","27","0","11","0","11","4","10","0","11","0","11"
"8600000US64151","ZCTA5 64151","204","122","49","45","0","21","0","21","17","24","0","21","0","21","2","4","0","21","10","17","20","34","0","21","0","21","0","21","0","21","0","21","155","90","12","19","0","21","0","21","2","3","0","21","0","21","5","11","56","53","28","41","15","18","37","35","0","21","0","21","0","21"
"8600000US64152","ZCTA5 64152","263","139","149","100","0","21","0","21","0","21","0","21","0","21","0","21","24","26","48","73","73","70","0","21","0","21","4","6","0","21","0","21","114","79","27","34","0","21","0","21","0","21","4","8","10","17","37","39","0","21","21","36","3","5","9","12","3","9","0","21","0","21"
"8600000US64153","ZCTA5 64153","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"8600000US64154","ZCTA5 64154","133","98","78","63","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","38","52","30","30","10","14","0","18","0","18","0","18","55","53","0","18","0","18","0","18","0","18","0","18","29","46","11","15","0","18","0","18","15","23","0","18","0","18","0","18","0","18"
"8600000US64155","ZCTA5 64155","559","202","358","165","0","21","108","57","30","38","0","21","0","21","0","21","0","21","53","81","126","70","30","49","0","21","0","21","11","18","0","21","201","84","0","21","69","58","0","21","29","30","0","21","0","21","0","21","0","21","45","37","31","37","27","29","0","21","0","21","0","21"
"8600000US64156","ZCTA5 64156","48","67","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","48","67","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","48","67","0","16","0","16","0","16"
"8600000US64157","ZCTA5 64157","181","119","50","54","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","50","54","0","21","0","21","0","21","131","108","32","42","11","18","11","18","6","10","0","21","0","21","0","21","0","21","12","19","59","70","0","21","0","21","0","21","0","21"
"8600000US64158","ZCTA5 64158","358","243","216","144","0","16","52","42","28","43","34","26","0","16","0","16","0","16","0","16","102","72","0","16","0","16","0","16","0","16","0","16","142","102","0","16","0","16","0","16","32","26","24","39","0","16","0","16","0","16","60","47","26","38","0","16","0","16","0","16","0","16"
"8600000US64161","ZCTA5 64161","24","41","14","25","0","11","0","11","5","9","0","11","0","11","9","16","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","16","0","11","0","11","0","11","3","6","0","11","0","11","0","11","0","11","7","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64163","ZCTA5 64163","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64164","ZCTA5 64164","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64165","ZCTA5 64165","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64166","ZCTA5 64166","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"8600000US64167","ZCTA5 64167","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
